Color,Crash,Day,Hour,Minute,Second
1,7.09,30,18,7,0
1,4.47,30,18,6,15
0,1.23,30,18,5,40
0,1.01,30,18,5,30
0,1.28,30,18,5,20
0,1.22,30,18,5,5
0,1.0,30,18,4,50
0,1.2,30,18,4,45
0,1.01,30,18,4,25
0,1.0,30,18,4,15
0,1.11,30,18,4,5
0,1.17,30,18,3,55
1,4.44,30,18,3,40
1,4.22,30,18,3,10
1,2.86,30,18,2,35
0,1.97,30,18,2,5
1,12.6,30,18,1,45
1,5.34,30,18,0,50
0,1.07,30,18,0,15
1,2.24,30,18,0,5
0,1.24,30,17,59,40
0,1.6,30,17,59,25
0,1.1,30,17,59,10
0,1.83,30,17,58,55
0,1.0,30,17,58,35
1,2.11,30,17,58,25
0,1.38,30,17,58,5
1,4.1,30,17,57,50
0,1.16,30,17,57,15
1,2.31,30,17,57,5
1,5.25,30,17,56,40
1,15.1,30,17,56,0
0,1.56,30,17,55,5
1,3.16,30,17,54,50
1,2.32,30,17,54,20
0,1.0,30,17,53,55
0,1.0,30,17,53,45
1,6.51,30,17,53,35
0,1.18,30,17,52,54
0,1.09,30,17,52,40
1,2.8,30,17,52,30
0,1.0,30,17,52,5
0,1.15,30,17,51,54
1,70.0,30,17,51,39
0,1.76,30,17,50,19
1,4.59,30,17,49,59
1,14.6,30,17,49,25
0,1.7,30,17,48,29
1,7.33,30,17,48,9
1,2.53,30,17,47,29
0,1.34,30,17,46,59
0,1.4,30,17,46,44
0,1.27,30,17,46,29
1,6.98,30,17,46,19
0,1.0,30,17,45,33
0,1.51,30,17,45,23
1,3.49,30,17,45,8
1,3.43,30,17,44,38
1,2.13,30,17,44,9
1,5.83,30,17,43,43
0,1.0,30,17,43,3
1,2.11,30,17,42,53
0,1.15,30,17,42,33
0,1.84,30,17,42,18
0,1.9,30,17,41,58
1,2.64,30,17,41,38
1,4.51,30,17,41,13
0,1.0,30,17,40,38
1,11.3,30,17,40,28
1,3.16,30,17,39,38
0,1.03,30,17,39,8
1,2.68,30,17,38,58
1,57.4,30,17,38,28
0,1.85,30,17,37,13
0,1.66,30,17,36,53
0,1.64,30,17,36,33
1,2.56,30,17,36,18
1,2.67,30,17,35,48
0,1.48,30,17,35,23
0,1.11,30,17,35,8
1,12.6,30,17,34,58
0,1.25,30,17,34,3
0,1.47,30,17,33,48
1,51.4,30,17,33,33
0,1.26,30,17,32,18
0,1.0,30,17,32,3
0,1.84,30,17,31,53
1,2.58,30,17,31,33
1,2.55,30,17,31,8
1,4.32,30,17,30,43
1,2.36,30,17,30,8
0,1.0,30,17,29,43
1,58.7,30,17,29,33
1,3.41,30,17,28,23
1,2.33,30,17,27,43
0,1.08,30,17,27,23
1,2.26,30,17,27,8
0,1.0,30,17,26,47
0,1.18,30,17,26,37
1,2.61,30,17,26,22
1,8.28,30,17,25,59
1,4.12,30,17,25,12
1,3.6,30,17,24,37
0,1.28,30,17,24,7
1,6.25,30,17,23,52
1,4.19,30,17,23,12
0,1.25,30,17,22,37
0,1.65,30,17,22,22
1,5.78,30,17,22,7
0,1.89,30,17,21,27
1,5.96,30,17,21,9
0,1.32,30,17,20,27
1,2.86,30,17,20,12
0,1.93,30,17,19,42
1,2.07,30,17,19,22
1,4.32,30,17,19,2
0,1.64,30,17,18,27
1,2.08,30,17,18,7
